Question,Answer,Answer_all_parts_of_the_question,Present_relevant_ideas,Fully_explain_these_ideas,"Support_ideas_with_relevant, specific_examples",Score
"Write about the following topic: In the past, most people lived in small villages where everyone knew everyone else. Nowadays, most people live in large cities where they only know a few people in their area. What do you think were the advantages and disadvantages of living in a small community? Give reasons for your answer and include any relevant examples from your own knowledge and experience.","In the past, we lived in small communities, small villages and nowadays we are living in a big communities, large cities. But let's focus on the past, what was the advantages and disadvantages of a living in a small communities.

I think advantages of living in a small communities was people didn't feel awkward with each other because they were close. If any of family in the village had a emergency problem, they can called help from other quickly because there house were against to each other,

About the disadvantages of living in a small villages was they got bored of their neighboor and people surrounded them because they were too similar. They didn't get a choice to communicate with new people outside their area so their social communication skill was limited. They didn't have many new friends.

In my opinion, living in a small villages let you to live close to your family and friends. But, you can just live like that, I love to experience new things and communicate with different people. Living in a big city is appropriate for me.",Yes,No,Yes,No,6
Major environmental problem,"Many people think that the loss of particular plants and animal species is the major environmental problem that humans are facing nowadays, while others believe that some environmental issues are more alarming. I agree with the latter view and will analyze both views in the following essay.

On the one hand, the loss of animal and plant species is considered a main environmental problem because of its impact on our planet’s biodiversity. Around the world, trees are being cut down for industrial and agricultural purposes. As a result, there will not be enough trees to produce oxygen for humans and prevent the soil from washing away. Meanwhile, endangered animals are being poached to serve people’s needs, hence negatively affecting the whole ecosystem. For example, when sharks are killed for their fins, many types of aquatic species no longer have their natural predators to control their population. Consequently, the disappearance of predators disrupts the natural food chain and then leads to unbalanced underwater ecosystems.

On the other hand, there are more urgent environmental issues that exist aside from the loss of plant and animal species. Those problems including pollution and climate change are the main factors that cause the loss of biodiversity and put the natural habitat on the brink of destruction. Water and soil pollution caused by industrial and agricultural activities are poisoning a large number of species of marine and land animals, which means that human health is also negatively affected as those animals are humans’ important food source. Moreover, changing weather patterns caused by climate change lead to more frequent occurrences of natural disasters such as droughts, floods, and wildfires.

In conclusion, the loss of particular plants and animals should indeed be paid great attention to, but other environmental issues should also be taken into consideration. I think we should put a great deal of effort into tackling all of those problems rather than only focusing on the animals and plants’ extinction.",Yes,Yes,Yes,Yes,7
Individuals can do nothing to improve the environment; only governments and large companies can make a difference.,"Many people say that there is no need for any individual to help for the improvement of the environment because they believe that it only depends on the performance of the government and huge companies. I totally disagree to this idea. I believe that every individual is important through participating and encouraging awareness to all.

Everyone is essential. Any good plans for the betterment of the environment has to be started by an individual. The goal will only be achieve if every part of the community will participate. For example, the government had announce about the global warming prevention and tips on how to do it, they need the participation of every individual so that the goal may be accomplish, because if people will only hear about it without any action from them, the goal will not be met.

Also, any individual can be an instrument to encourage awareness to all that they will encounter. If anyone had been intentionally doing his/her part for the project, the outcome will be positive. One good example is being member of a family, let us say that the mother heard about the project of the government to save the earth by starting from segregating garbage in different ways which are garbage, recycling and compost. The mom can be a good encourager by first doing it by herself, then next is to teach her husband and kids to do it as well. This is a good contribution to the government's project that may lead to a positive outcome.

In conclusion, every individual is essential for the goal of improving the environment. If there is no individual involvement, success in achieving the goal is impossible. ",Yes,Yes,Yes,Yes,7
"The first man to walk on the moon claimed it was a step forward for mankind. However, it has made little difference in most people’s lives. To what extent do you agree or disagree?","*Discovering the space is a great invention for human beings. Nevertheless it has had few effects in lifestyles. In my opinion, although discovering space is a great invention, people's incomes is not influenced by the space exploration and technologies. *

*Many industries such as mechanics, electronics, and so on are assembled in a high tech instrument namely spacecraft, so, every country having this high-tech technology can develop it's industry more and earn more money by selling facilities and services. It is argued that science brings out welfare. *

*Astronomical science is very specific feild and few people are dealt with space survey. Most people have regular jobs which are not related to space exploration or very state of the art technologies. Having said that welfare is related to relationships of countries, trade, war, and other resources which have direct effects on the people's life. *

*In conclusion, space exploration is an achievement for human, thereby has it's effects on the societies. *",Yes,No,Yes,No,6
"Some people think that the government should provide assistance to all kinds of artists including painters, musicians and poets. However, other people think that this is a waste of money. Discuss both views and give your opinion.","Many people lives are richer because of their art which they express to community. Many individual believe that the government should provide funds to artist while other believe that it is unfair. This essay analyse both the perspectives.

To begin with former views, there are many points that authority should help artists. Artists are contribute to nation by their art. Creativity is having in every person by their born but to elaborate it is a vital thing for any individual and all artist do that. At the end, they serve their creativity to their community for entertain perpose. Additionally, artist represent their culture by their art so, they become ambassador of their nation. For an example, painters represent their art by emboss as well as sculpture represent by carving and engraving and could be popular worldwide and express their tradition.

Moving to a latter view counter of former view having a strong reasons. Government should firstly focus on basic need for developing country. Individual's primary need is accommodation shelter and food yet, many individual has not get it. For well being life of human is a foremost priority for authority and still thye focus on other art instead this primary things. Additionally, they should also focus on infrastructure development. Nation want to add their name in developed country, foremost of it is developed their urban, ruler and their transportation by providing more found in it.

To conclude and my opinion is, although the art is part of culture and feelings of individual, providing a primary need of citizen is essential for any country. ",Yes,No,Yes,No,6
Universities should accept equal numbers of male and female students in every subject. To what extent do you agree or disagree?,"Equality between men and women has always been an issue in societies all around the world. Some believe that universities ought to consent to equal numbers of male and female students in all subjects. However, I disagree on this issue that the capacity of each subject should be equal for men and women students due to the lack of practicality and fairness.

The first reason that the numbers of male and female students accepted by universities should not be equal in every subject is that it will definitely be impractical. since some subjects are not appropriate and also not popular for both genders, the opportunity for students of one gender in a specific subject might be eliminated. For an instance, some subjects such as nursing, clothes designing, and interior designing are more popular among female students whereas some other subjects such as civil engineering and mechanics are more desirable for male students. In addition, job opportunities may be influenced by this issue. If there was a shortage of male mechanics, some of the subject-related projects would not be carried out.

Another good reason for inequality in the numbers of male and female students in all university subjects can be the fact that it will not be fair. Some meritorious students may lose their chance to be accepted in the particular subject if the capacity of the course is divided equally, which is frustrating for students. So, I believe that the numbers of seats for each subject should not be based on the gender.

In conclusion, universities ought not to accept equal numbers of male and female students in every subject due to being practical and fair. The capacity of each subject had better be based on merit not gender. ",Yes,Yes,Yes,No,6
"As most people spend a major of their adult life at work, job satisfaction is an important element of individual wellbeing. What factors contribute to job satisfaction? How realistic is the expectation of job satisfaction for all workers?","Undoubtedly, a full-time job has always been an integral part of most people’s lives. Since it is said that majority of the adult life is dedicated to working, job satisfaction is a significant element in people’s health and happiness. There are several factors which can lead to job satisfaction. However, I believe the expectation that all people can be satisfied with their working condition and get full enjoyment is unrealistic.

There are several factors which can result in job satisfaction. Firstly, workers’ interests might be influential in enjoying the work they carry out. In my opinion, the stronger interests people have in their job, the higher motivation they get to take on the work and do it properly. Another effective factor can be the sense of fulfillment workers feel after work completion and getting promotion. When they monitor their progress day by day, for example, they get motivated and it may lead to higher sense of responsibility they develop. Besides, they become good team players and can co-operate with others well. The last but not least, the amount of money people gain as the salary can play an important role in job satisfaction. When people get more money in a fulfilling job, they get encouraged to carry out their work with the sense of happiness and satisfaction.

Of course, all people in a society are not expected to enjoy their working conditions. Sometimes, the need for money forces people to find a permanent job regardless of their interests. For instance, due to the rising inflation in my country, people have to find a well-paid job or work overtime just for gaining money. They have to overwork, therefore, to make a living and there sometimes seems to be no balance between their work and life and they cannot spend their time with their family members and friends and enjoy their lives; which may lead to physical or mental health problems.

In conclusion, even though there are a lot of factors such as people’s interests, stimulating working conditions, and income which cause job satisfaction, it is unrealistic expectation that all workers are likely to be satisfied and content with their jobs.",Yes,Yes,Yes,Yes,7
Having a good university degree guarantees people a good job. To what extent do you agree?,"According to the datum that we are living in the revolutionized world. Some people argue that when they have a university degree they have a good job opportunities. Personally, I cannot entirely agree with the statement that university degree guarantees people a good job. I think the only qualification is not required to secure a job; many other things are also necessary. So I will discuss my point of view for this issue.

First and foremost, I would like to point out that sometimes qualified person fail to get employment while others get the job who haven’t a proper degree. Referring to this situation, I can easily say that a university degree provides people with a theoretical information about their professions. But practical training makes people more confident and experienced when they face challenges in working environment. For example, Suppose that there are 2 candidates, one of them has graduated from university in this year and the other does not have a university degree, but he has experience. In extreme cases, there will be an experienced person hired.

On the other hand, one of the major factor is communication skills, confidence and critical thinking. People who are graduated from university but he or she doesn’t have enough communication skills or critical thinking about their qualifications they can’t get the good employment opportunities among the competitors. Because they will fail when they try to explain datum or ideas for company. By the way it is transparent that Employers always analyze their employees about how they solve the problems?

To sum up, having a university degree will put you ahead in this competitive environment, but just having it doesn't guarantee people a good job. According to my perception, both university degrees and practical knowledge are equally important. ",Yes,Yes,Yes,Yes,7
".Nowadays animal experiments are widely used to develop new medicines and to test the safety of other products. Some people argue that these experiments should be banned because it is morally wrong to cause animals to suffer, while others are in favour of them because of their benefits to humanity. Discuss both views.","Regarding to the datum that animal testing has important role of advancement of medicine and experimentation of other harvests. While other people argue that we have no moral right to utilize animals for our own purposes and these actions should be banned.

People want to protect and cure illnesses with high quality medicines. Long-term tests should be performed to prepare high quality medical treatments and people use animals for experimentation. But the transparent ideas of those who are support for banned animal testing is these medicines may have some unknown side effects. Because it is obvious that our human body not same with animals. According to these arguments people think that they can use or improve alternative non-animal testing methods. Afterwards they can protects animal rights and prevent their existence.

But some people support using animals in any medical research or testing products. Today a large number of people recover from their illnesses by powerful medical treatments. These discoveries are impossible without experimentation on animals. Moreover, it is help to enable the safety of medicines and products before utilizing by humans. Scientist need to know all effects of drugs on animals in order to discovering new medicines or developed any treatment. Without animal experimentation we can discover few types of medicines doing alternative methods.

In conclusion, animal testing can only use for very important issues such as cure of cancer or vaccination of COVID-19 not for cosmetic industry or entertainment products. I agree that these tests can hurt them but it is beneficiary for human being.",Yes,No,Yes,No,6
It is generally accepted that families are not as close as they used to be. Give some reasons why this change has happened and suggest how families could be brought closer together.,"Nowadays, people’s lifestyle has changed in comparison to the past and family members are not as close as they used to be for several reasons such as the economic issues and the growth of technology. Despite the fact that some would argue that this problem will correct itself overtime, in my view, there is much that can be done to address this problem constructively.

The first reason that families are far from each other these days can be the staggering costs of life which enforce almost all family members to work hard even overtime to provide money and amenities for the family. The rising inflation rate affects all parts of people’s lives and living expenses such as accommodation, either purchasing or renting, eating products, clothes, and other necessities. People, therefore, have to overwork and they cannot find free time spending with their family members in relief. Besides, by the growth of technology, most people tend to spend their time talking to their friends on social media or surfing the internet. So, this keeps people amused and away from their families.

One possible approach would be the government efforts and negotiations in order to hinder the day by day increase in prices; especially the price of dollar which has the significant and direct impact on people’s lives. This would certainly tackle the problem. However, measures like this would be considered as excessive and difficult to be done quickly. A more feasible approach would be time-management in using technology by family members. For instance, family members are to spend their time together after work rather than spending their time on social media or playing games on their gadgets.

In conclusion, it is true that this problem will probably not be solved quickly. However, that is not the reason to avoid taking actions. If the government and people take appropriate actions in this case, this problem will definitely be solved overtime and families could be brought closer together again, I suppose.",Yes,No,Yes,No,6
The idea of having single career option is becoming old fashioned one. The new fashion mil be to have several career or way of earning money and further education will be something that continuous throughout life.,"The perception of having only single career becomes outdated now. The new goal is to have numerous career option to generate passive income and to implement life long learning.

I am very truly agreed with the above mentioned statement. Because today's world demands to be entrepreneur. As the old method to study and getting jobs doesn't works anymore. For example if a student is studying in the stream of business. He prefers to generate passive income from number of sources, as internet provides a lot of opportunities to earn without doing a lot of hustle bustle.

On the hand it is necessary to have two or more career options because sometimes you are unable to earn that much from a single source to fulfill your desires. Also the modern world has lot of opportunities but difficulties to. And if a person is depends upon a single career and he or she if loses his job, then this might be impossible from him to survive for longer period of times. Although the modern era demands us to implement life long learning throughout our life. As new technology is upgrading day by day. And we have to develop our skill set accordingly. For example: if you are a shopkeeper, the old methods of selling products doesn't works anymore, people wants everything at there ease and he or she will nit going to wait for longer period to buy something from the shop. Therefore the shop keeper has to use his critical thinking skills and sell it's products with ease by converting his shop to grocery store which will relax him and his customers too. To conclude that i would say that I am fully agreed that a single career option doesn't works anymore. And a person has to think to generate income from numerous sources. We have to enhance our skill set thorough out our life and implement it in our business or work",Yes,Yes,Yes,Yes,7
Essay topic: Some people think that school children need to learn practical skills such as car maintenance and bank account management along with the academic subject school. To what extend do you agree or disagree?,"Nowadays the students are learning many things within a school lesson. They are learning mostly about some theoretical skills such as history, math and chemistry. But some people think that the students should be taught more about practical skills that will help them to survive when they grow up such us car maintenance and bank account management. In my opinion both views are equally important.

To begin with, more practical skills will help youngsters to face many problems. To be more specific, those skills are something very useful as they will help them to live more easily and face every daily difficulty that might show up during their life. For example, if the students learn how to manage their bank account they will make purchases and they will never face a financial problem. Also another significant practical skill is the car maintenance. For example they will be helped a lot as they will have the knowledge on how to react if they stuck in the middle of nowhere.

But, except from the practical skills the students should teach theoretical subjects to broaden their horizons. Subjects such as chemistry and biology are extremely important for a doctor as he cannot diagnose a disease without that. Additionally, philosophy and history are important for a teacher so that he can teach his knowledge to the next generations. What I mean is that the theoretical skills that the youngsters learn in school is significant because those subjects are that will help them understand the practical skills and then they can combine all the knowledge they have and live a nice life.

To sum up some people believe that the students have to learn except from the academics subjects some practical skills. Personally I think that practical skills should be taught in school as long as the teachers do not limit the theoretical subjects.",Yes,Yes,Yes,Yes,7
Most employers nowadays put increasing emphasis on social skills. Some people believe that social skills are important in addition to good qualification for job success. To what extent do you agree or disagree?,"In this contempary era, most of the companies focus on the workers with good communication skills. Some masses reckon that to get successful in their job the employees need to have excellent communication skills along with their qualification. I am completely disagree with this statement. In this essay, I will discuss the reasons why I am not with this view with relevant examples.

There are a plethora of reasons why social skills are not as important as other qualities such as, talent. In other words, there are various famous bussiness mans personality who do not have good social skills. However, on the basis of their talent they earned hug success in their lives. Moreover, a good communicater will only speak well but a good listener will also listen to others point of views and act according to that. In addition to this, same kind of personality can lead to conflict. As, everyone will speak no one will listen.

On the flip side, there are a number of citizens who believe that social skills are crucial to get success in career. The main one is that the workers will cope-up easily in any environment and connect with others faster than employees who lack social skills which make their life easier in the workplace. Furthermore, person with good communication skills can transfer ideas which are more innovative and interesting. for example, it is the fact that a good communicater lead to leadership quality and a good leadership leads to creativity. Consequentely, its assist every employees to work with more passion and interest.

In the nutshell, I would like to state that although social skills have a number of its own advantages. I believe that their are numerous other qualities which managers should focus to have consistance in the workplace. Such as, a person should be a good listener and have something unique in it. ",Yes,Yes,Yes,Yes,7
